n,single time,two time,four time,eight time,sixteen time,thirty two time
286,83872,80115,79592,80322,81642,82259,1.23874e+06
287,78622,93749,89446,87163,85227,83082,1.22886e+06
288,79442,85710,81039,80487,81845,84936,1.30196e+06
289,83067,85223,82520,84440,81219,85374,1.25435e+06
290,78299,82645,82616,83859,86630,86127,1.24419e+06
291,82482,82724,86528,83974,86062,88279,1.26135e+06
292,86409,85398,87139,86904,85938,89386,1.26341e+06
293,85032,86041,84473,83502,89742,87596,1.29076e+06
294,85075,86708,88062,86089,87673,89339,1.29091e+06
295,85467,86781,85750,88116,87794,90759,1.29583e+06
296,89859,90314,90530,90207,89737,90709,1.3143e+06
297,88292,89653,88304,90740,89704,95292,1.32219e+06
298,88864,92182,90512,93223,91208,94133,1.40392e+06
299,94110,91419,93860,93174,94662,97192,1.355e+06
300,96027,95317,93070,91622,94512,95505,1.34988e+06
301,90352,93073,97412,94986,93460,96782,1.3734e+06
302,95780,102105,97339,93006,93853,95358,1.37604e+06
303,96724,94197,95044,98578,98749,97975,1.37499e+06
304,97319,96147,92515,94775,98183,104793,1.37361e+06
305,101251,94151,95331,99372,96940,96510,1.39312e+06
306,95122,105248,99264,100114,99537,99866,1.43028e+06
307,99948,99348,100414,101534,100399,101932,1.41469e+06
308,117913,100242,102391,112552,102101,102652,1.41606e+06
309,100313,103730,101190,105183,101081,104739,1.46859e+06
310,99053,105585,101043,102546,106627,109151,1.47996e+06
311,104721,101136,102245,103128,103273,103483,1.48946e+06
312,108357,107700,102135,105750,105269,120837,1.48213e+06
313,105875,106933,106723,106970,106694,106907,1.50815e+06
314,106703,111049,109721,110086,109315,109710,1.52155e+06
315,109872,109641,105498,106672,107067,109643,1.51512e+06
316,109592,114324,108445,117255,112768,116207,1.52482e+06
317,109174,115972,108246,109381,107817,111781,1.53276e+06
318,107492,110752,110145,110064,111212,114520,1.54563e+06
319,109067,136410,110710,111440,111068,119267,1.57319e+06
320,106538,111368,113207,114458,111245,112711,1.55637e+06
321,112611,111591,112585,115951,109926,116495,1.58922e+06
322,114996,115604,112942,127805,127314,130022,1.59708e+06
323,116358,118472,114699,143793,141164,131382,1.58616e+06
324,113807,125086,116853,115279,121064,134271,1.64689e+06
325,112291,129127,116370,134347,138034,141275,1.62908e+06
326,120150,121810,119231,133758,152342,143723,1.63002e+06
327,117614,120897,120510,139551,152420,130065,1.63868e+06
328,121893,124171,120978,162569,152172,146500,1.66768e+06
329,118745,148749,120358,149064,150423,133816,1.66718e+06
330,120801,124238,123244,134950,143669,140472,1.67712e+06
331,120047,128280,121232,155095,134940,140668,1.69259e+06
332,129828,129577,127205,153421,165523,136933,1.69727e+06
333,127227,137401,132780,136713,138835,133798,1.75589e+06
334,126829,140861,137208,133704,145492,152185,1.75375e+06
335,127532,136069,128151,133624,137207,134271,1.7267e+06
336,124314,133482,130560,130448,135890,133920,1.70318e+06
337,131600,134681,131920,134929,139260,135126,1.72333e+06
338,127187,132427,130478,139011,134089,134668,1.74346e+06
339,130944,131867,133288,133637,136933,138858,1.75408e+06
340,130976,138087,132473,133645,134946,133764,1.75074e+06
341,135445,133188,135538,136519,140591,146485,1.76758e+06
342,138179,139265,133633,133482,134799,138983,1.78308e+06
343,132535,140390,137744,137385,146126,143122,1.78501e+06
344,135490,140656,137389,140891,140525,142025,1.80613e+06
345,140451,139133,137178,137628,139291,140647,1.80136e+06
346,146216,138010,137218,139903,149112,147088,1.84226e+06
347,137147,142499,140447,143693,143889,143107,1.809e+06
348,141176,143702,145964,150070,141415,144251,1.84623e+06
349,141203,145330,144102,143301,141808,145748,1.8836e+06
350,152061,146420,140863,146093,144596,148461,1.84698e+06
351,145634,152747,145297,147863,150973,148294,1.8827e+06
352,151891,149068,148286,148667,149228,152801,1.89097e+06
353,155406,148535,147992,148639,150784,151921,1.89731e+06
354,147332,149752,149983,151331,153409,154315,1.88825e+06
355,148395,151161,148407,149605,149381,150936,1.92076e+06
356,152707,149510,147314,150975,152671,155993,1.91522e+06
357,160691,154790,152270,152450,151985,155904,1.9342e+06
358,153754,155017,151728,152358,155178,159313,1.94976e+06
359,155773,159808,158136,159782,160980,160280,1.97248e+06
360,161187,160755,155784,159410,155992,162823,1.96814e+06
361,153390,157091,157683,160682,158181,162951,2.0406e+06
362,160141,161656,158329,158680,167840,170603,2.01504e+06
363,171205,168902,166575,166893,164852,169487,2.0268e+06
364,163893,167182,162210,162700,168591,168712,2.08783e+06
365,164828,169748,160733,183024,172985,166794,2.06588e+06
366,162123,172123,170346,167956,166564,172945,2.09144e+06
367,167087,168308,168028,168389,174816,173107,2.08312e+06
368,173733,171516,173476,173111,185801,191105,2.10547e+06
369,169729,172921,169543,168750,174339,176677,2.13492e+06
370,171956,175496,174291,173791,177351,179520,2.13152e+06
371,179280,174910,173458,172503,183874,178318,2.14444e+06
372,184152,192642,179413,176636,187962,180005,2.14267e+06
373,176881,178987,179656,175739,183234,185926,2.18523e+06
374,173436,175987,178087,185978,187594,184073,2.18888e+06
375,175248,178132,178038,177871,191744,187216,2.20964e+06
376,193250,180567,181379,183349,194706,217721,2.2215e+06
377,186590,192464,194868,201201,215908,217504,2.46956e+06
378,191772,207701,190965,200218,203180,226701,2.2672e+06
379,188354,189991,181832,189833,197273,220135,2.37358e+06
380,190912,191923,189075,211564,257728,226487,2.29407e+06
