n,single time,two time,muti time
366,167681,172579,2.03609e+06
367,167401,171295,2.05055e+06
368,170693,178489,2.12199e+06
369,174188,170743,2.09245e+06
370,196088,189973,2.12892e+06
371,187135,185182,2.16172e+06
372,178182,179761,2.14212e+06
373,176390,179062,2.15682e+06
374,174856,176293,2.17188e+06
375,178304,183197,2.15012e+06
376,182295,182621,2.1823e+06
377,181064,186039,2.18084e+06
378,187658,191332,2.20112e+06
379,184070,187207,2.19281e+06
380,188990,191271,2.21945e+06
381,193371,193447,2.21841e+06
382,208183,193839,2.27104e+06
383,208239,196895,2.34591e+06
384,197207,194322,2.28038e+06
385,195320,204999,2.31869e+06
386,199014,200621,2.31641e+06
387,190721,223243,2.38259e+06
388,213714,201870,2.3721e+06
389,205150,210604,2.39148e+06
390,201036,207685,2.34731e+06
391,206105,204999,2.37294e+06
392,204878,211663,2.38215e+06
393,210942,210522,2.43759e+06
394,216058,218368,2.39301e+06
395,214711,220729,2.43016e+06
396,213133,213048,2.41687e+06
397,211924,216650,2.45708e+06
398,213695,221186,2.44626e+06
399,219546,220445,2.47891e+06
400,232081,235765,2.48394e+06
401,219659,224272,2.54827e+06
402,243743,236322,2.53691e+06
403,241773,229051,2.57027e+06
404,230682,229401,2.54771e+06
405,245407,240198,2.56919e+06
406,235529,239986,2.61625e+06
407,236678,235006,2.61216e+06
408,258225,276085,2.68261e+06
409,249227,245419,2.7361e+06
410,264358,259821,2.73482e+06
411,243191,243401,2.89378e+06
412,245151,243961,2.67478e+06
413,247445,249446,2.70711e+06
414,259395,304314,2.80547e+06
415,260938,261665,2.97206e+06
416,253084,265418,2.77069e+06
417,251026,254365,2.76301e+06
418,255409,258802,2.77411e+06
419,262714,255005,2.74856e+06
420,276386,285890,2.86327e+06
421,279962,297298,2.80669e+06
422,289682,285056,2.99609e+06
423,274719,279559,2.97474e+06
424,349854,323477,3.25033e+06
425,274638,272775,3.1356e+06
426,278746,281037,2.91361e+06
427,320502,275662,2.96744e+06
428,279295,288001,2.94645e+06
429,279717,283951,3.12546e+06
430,278352,289919,3.03139e+06
431,287415,288253,2.97152e+06
432,292101,293314,3.00088e+06
433,287462,300112,2.97008e+06
434,292194,298362,3.01105e+06
435,320014,302806,3.01626e+06
436,339763,306776,3.04679e+06
437,299685,312698,3.1166e+06
438,308291,320998,3.09209e+06
439,303727,301906,3.1035e+06
440,296963,301809,3.16176e+06
441,298214,311810,3.07254e+06
442,310206,309654,3.10722e+06
443,301113,301235,3.12093e+06
444,311558,310923,3.09259e+06
445,307103,314070,3.20496e+06
446,322916,316264,3.15102e+06
447,323798,321720,3.23227e+06
448,355555,324691,3.56754e+06
449,331514,334190,3.55054e+06
450,365523,347651,3.4593e+06
451,334809,332311,3.62597e+06
452,374511,340461,3.36627e+06
453,349020,377572,3.32976e+06
454,348031,340885,3.41074e+06
455,342769,341107,3.413e+06
456,338936,342512,3.40408e+06
457,350748,369642,3.45964e+06
458,473900,412146,3.47072e+06
459,360771,412166,3.55617e+06
460,351541,369250,3.54194e+06
461,406921,373318,3.55022e+06
462,375867,393053,3.60163e+06
463,386848,357217,3.49999e+06
464,375146,369875,3.66693e+06
465,371885,435222,3.75429e+06
466,439496,493349,3.57542e+06
467,376570,415603,3.64765e+06
468,393872,380910,3.65662e+06
469,483902,578583,3.65989e+06
470,409977,426675,3.66212e+06
471,401768,405011,3.64802e+06
472,404807,410542,3.67545e+06
473,410117,402757,3.79047e+06
474,381753,399433,3.70277e+06
475,383975,393809,3.77755e+06
476,397121,397495,3.7573e+06
477,411058,425831,4.02388e+06
478,444972,430227,3.93447e+06
479,462229,420081,3.98573e+06
480,429753,422843,4.06357e+06
481,415578,419827,3.87159e+06
482,437771,445858,3.84302e+06
483,583918,477667,3.98593e+06
