n,single time,two time,four time,eight time,sixteen time,thirty two time
267,76549,70393,74351,131026,128640,129829,139058
268,71111,71465,74183,124361,128566,123287,140081
269,64768,71641,75733,134757,132478,128254,145318
270,64959,68212,68477,126177,131896,134617,148113
271,61379,68716,68501,137960,137536,131087,149032
272,64424,67160,69131,130897,128452,140987,149527
273,66389,68034,69832,135622,134770,142370,154537
274,63048,68620,72642,136474,129325,135107,154187
275,64595,68477,71448,142995,141633,145814,159238
276,65251,69689,72286,142938,148851,142814,158022
277,64988,70718,73044,148203,149271,144847,161171
278,65815,71110,73767,150625,149979,146075,161689
279,69614,73419,74709,151725,153626,153414,157878
280,69223,72807,76365,156596,157223,147227,164194
281,70127,73548,76235,133610,156085,154097,166018
282,69313,74612,77349,149701,149302,157881,170839
283,73805,74829,79154,148327,161261,159709,169577
284,73333,77075,78960,144888,162907,165804,173603
285,70995,75963,79666,158235,165386,163420,177026
286,74946,76969,80478,157179,162131,166811,179025
287,76425,81352,82030,164317,168200,165007,179478
288,75789,80973,83270,170822,169850,165927,180500
289,74485,82633,83490,169494,176638,170679,183697
290,75097,81146,84059,172227,173758,173347,187031
291,75649,91522,85723,170931,160355,170616,187275
292,77043,82503,86115,160616,166666,167163,189445
293,78279,91261,89492,169250,170451,183334,188786
294,77995,84319,87520,178133,178365,176106,192013
295,82099,91520,88619,178165,181534,185405,197657
296,81156,86867,89626,181124,180345,184086,199508
297,80997,94773,90914,176356,178358,186478,199260
298,81577,89930,91334,183044,184764,188034,200178
299,88538,94418,92932,192423,191178,190961,204729
300,83510,91063,93154,180754,186084,200223,204420
301,93479,91556,93978,185766,188569,187196,211999
302,90367,91471,94888,186231,196143,198507,211608
303,85586,93417,95722,186597,181178,202150,211272
304,91111,93426,97582,182528,203209,196221,214886
305,89257,96413,102421,194731,205238,198822,216225
306,89310,96403,98794,201527,202793,206192,214857
307,89622,100419,99944,199482,196838,195673,218958
308,90011,97769,100929,197000,199101,204457,219410
309,91936,101701,101833,192540,210339,214729,225210
310,96015,101865,103587,214647,209718,212251,228810
311,94325,99806,103940,205117,210446,207931,229799
312,93403,101786,104793,211486,213092,208712,232958
313,99504,103028,106793,220106,207459,218179,233009
314,95507,108252,107285,222574,211176,221032,236465
315,96500,103724,108071,213570,207319,226958,238599
316,100022,103573,109480,218260,224359,216476,236728
317,100223,112126,110759,223006,222775,227734,238462
318,103742,111434,111594,229687,221678,232552,246940
319,105759,107150,112228,220848,233593,233061,243005
320,100926,113499,115235,230925,224827,237764,249056
321,109266,109009,114449,240878,244888,235428,251631
322,108146,111956,115798,230608,239343,227440,251408
323,103476,111387,116412,228638,246252,240519,256298
324,104889,111744,117585,231305,229903,244603,258478
325,108029,114831,118836,225579,235912,240263,255507
326,106111,114777,119757,225111,242242,240094,262892
327,108825,114281,121180,235041,245400,244213,258556
328,110638,117589,122148,245006,247546,247752,270104
329,109911,117068,123508,247211,252400,257802,274025
330,113576,118316,125407,247884,252733,261220,273941
331,112715,119546,125504,251478,261753,258058,276124
332,112685,120210,131440,248616,266887,261411,278486
333,115500,126132,128368,229322,273117,256458,287055
334,114146,123727,128920,244734,261978,269535,282422
335,117196,124767,130048,264134,257310,270284,286483
336,117137,124895,130992,267165,260917,277985,294640
337,121812,125379,133792,264510,284297,269894,289370
338,118397,127361,133516,259877,256428,279064,293655
339,121668,133165,134773,255485,279349,281553,298196
340,120338,129433,135776,266366,283685,277811,299334
341,124666,130312,138371,273458,282098,281917,305592
342,124082,131280,139775,279033,287159,290637,305936
343,128181,133215,139465,244741,284556,281720,308389
344,125279,133641,144450,287760,291229,282411,307429
345,126468,137496,142045,294631,296296,299064,311883
346,130180,136417,143086,289007,291992,297060,310193
347,127791,136949,144590,289062,292120,301062,317004
348,132974,139717,145887,293280,306804,307467,320946
349,129833,139626,152076,289159,298544,310175,322588
350,131220,143038,148081,304150,305755,308818,328854
351,137107,143327,149990,312520,314304,304622,330370
352,136830,143583,150514,308841,315578,322368,331673
353,134557,149892,152581,294691,301534,315050,334826
354,139508,146010,153415,312762,320203,325947,340282
355,139303,151223,154547,327751,308108,322902,346121
356,139769,148434,159564,320898,322794,331865,340326
357,148890,151047,158048,313490,323672,336655,347565
358,149191,153408,158596,317560,322283,337614,353895
359,146034,151949,162128,316648,331195,344246,353903
360,146492,153998,161105,334026,337682,334463,363021
361,146557,153890,162934,315095,330445,334639,353614
362,146571,157101,164553,330675,336982,347883,353017
363,148554,157822,165288,330445,345923,345099,366404
364,150401,160344,166668,339209,333637,348838,364923
365,151280,164522,168724,343497,343959,356184,369932
366,152369,164952,169512,341681,343829,351229,372356
367,154002,164661,172150,340308,353221,357964,379122
368,153701,163560,175943,352686,349468,363146,387787
369,154691,165748,177511,373763,351692,358797,382766
370,154714,167770,176189,361283,363589,367995,383012
371,156240,167698,176719,368104,365146,364021,384557
372,158639,175878,177921,367813,377867,384707,379362
373,159428,171014,179329,365744,370302,375250,392165
374,160925,171649,180830,365129,373271,377875,403261
375,161636,174235,182141,389959,374503,381964,399947
376,163146,176368,183823,378054,378582,385167,396104
377,166010,176819,188763,380114,376279,389014,405945
378,168069,177043,191569,373772,382194,389302,413909
379,171359,180852,189287,353805,384237,396931,405394
380,173574,183817,189642,390611,394276,403593,413357
381,173338,185819,191089,393430,385736,403435,428917
382,171917,184164,192557,399192,402916,397830,434024
383,179427,184704,194203,382333,401780,412586,426482
384,204412,186181,196139,409285,403061,403106,428424
385,179130,186729,197686,407983,413819,418304,435752
386,176242,189671,200213,390232,416120,423975,431601
387,177732,193561,200684,402124,406910,429429,442798
388,180787,192597,201693,413148,432234,429485,441447
389,185051,193167,207436,409220,425763,434735,451234
390,183463,200228,205749,408107,423579,430961,456920
391,186192,196293,205146,408563,437134,440505,443281
392,188905,196536,208976,412805,419054,429426,458083
393,186347,198941,212029,418700,434322,445821,462306
394,188905,202774,212425,426632,447014,454598,463449
395,191575,201961,217380,448164,445820,445601,470413
396,192978,206458,215455,439085,447779,450724,458689
397,195777,204542,217350,430273,439887,463399,482493
398,208545,205627,218556,469331,444220,469654,476757
399,194280,211855,220002,449613,451611,468680,485669
400,200666,209292,226228,443633,468677,470663,479495
401,201382,212832,223163,459017,470173,474682,492417
402,201979,213826,225430,461964,464885,477134,489952
403,201468,219635,226393,466980,479098,473383,498588
404,205301,222507,230775,477063,475108,481669,503220
405,207236,217920,229576,469769,487281,493975,510423
406,204396,221081,233178,469618,484030,487910,505447
407,210237,221349,233697,473487,490943,499413,504076
408,211410,227871,235443,477794,494888,492570,517610
409,210916,224110,236732,483474,504174,496438,525015
410,214359,228586,238278,458840,493276,505607,526933
411,216641,232442,240191,493993,503817,510759,525937
412,254333,229144,242349,498193,496833,510774,522167
413,217457,232146,247621,510587,495611,524786,536710
414,220460,231938,245334,495308,519396,521323,540505
415,218972,238050,247687,512138,518537,532664,544504
